2022-11-21 15:26:11,774 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.415/8.415/8.415/0.000 ms
2022-11-21 15:26:13,009 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 4.155/4.155/4.155/0.000 ms
2022-11-21 15:26:14,249 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.805/8.805/8.805/0.000 ms
2022-11-21 15:26:15,488 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.205/8.205/8.205/0.000 ms
2022-11-21 15:27:09,020 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 6.568/6.568/6.568/0.000 ms
2022-11-21 15:27:10,249 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 5.355/5.355/5.355/0.000 ms
2022-11-21 15:27:11,476 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 7.046/7.046/7.046/0.000 ms
2022-11-21 15:27:12,706 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 4.594/4.594/4.594/0.000 ms
2022-11-21 15:27:13,961 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 10.293/10.293/10.293/0.000 ms
2022-11-21 15:30:14,372 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.330/8.330/8.330/0.000 ms
2022-11-21 15:30:15,601 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 3.531/3.531/3.531/0.000 ms
2022-11-21 15:30:16,842 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 7.753/7.753/7.753/0.000 ms
2022-11-21 15:30:18,080 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 10.562/10.562/10.562/0.000 ms
2022-11-21 15:30:19,449 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 95.150/95.150/95.150/0.000 ms
2022-11-21 15:33:06,977 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 10.768/10.768/10.768/0.000 ms
2022-11-21 15:33:08,233 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 5.813/5.813/5.813/0.000 ms
2022-11-21 15:33:09,475 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 4.437/4.437/4.437/0.000 ms
2022-11-21 15:33:10,705 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 1.413/1.413/1.413/0.000 ms
2022-11-21 15:33:11,929 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 3.321/3.321/3.321/0.000 ms
2022-11-21 16:28:27,486 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.300/8.300/8.300/0.000 ms
2022-11-21 16:28:28,736 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.399/8.399/8.399/0.000 ms
2022-11-21 16:28:29,975 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.260/8.260/8.260/0.000 ms
2022-11-21 16:28:31,207 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 6.854/6.854/6.854/0.000 ms
2022-11-21 16:28:32,441 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.017/8.017/8.017/0.000 ms
2022-11-21 16:36:09,794 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 7.039/7.039/7.039/0.000 ms
2022-11-21 16:36:11,023 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.798/8.798/8.798/0.000 ms
2022-11-21 16:36:12,259 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 3.767/3.767/3.767/0.000 ms
2022-11-21 16:36:13,493 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 10.820/10.820/10.820/0.000 ms
2022-11-21 16:36:14,742 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 14.365/14.365/14.365/0.000 ms
2022-11-21 17:07:47,178 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 16.807/16.807/16.807/0.000 ms
2022-11-21 17:07:48,428 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 10.857/10.857/10.857/0.000 ms
2022-11-21 17:07:49,670 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 7.238/7.238/7.238/0.000 ms
2022-11-21 17:07:50,909 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 6.534/6.534/6.534/0.000 ms
2022-11-21 17:07:52,141 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 5.514/5.514/5.514/0.000 ms
2022-11-21 17:16:26,707 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 3.736/3.736/3.736/0.000 ms
2022-11-21 17:16:27,957 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 9.464/9.464/9.464/0.000 ms
2022-11-21 17:16:29,232 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 14.933/14.933/14.933/0.000 ms
2022-11-21 17:16:30,480 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.722/8.722/8.722/0.000 ms
2022-11-21 17:16:31,725 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 12.251/12.251/12.251/0.000 ms
2022-11-21 17:19:11,298 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 15.294/15.294/15.294/0.000 ms
2022-11-21 17:19:12,545 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.684/8.684/8.684/0.000 ms
2022-11-21 17:19:13,786 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 9.637/9.637/9.637/0.000 ms
2022-11-21 17:19:15,015 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 6.368/6.368/6.368/0.000 ms
2022-11-21 17:19:16,248 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 8.497/8.497/8.497/0.000 ms
2022-11-21 17:24:47,034 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 9.130/9.130/9.130/0.000 ms
2022-11-21 17:24:48,269 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 7.734/7.734/7.734/0.000 ms
2022-11-21 17:24:49,505 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 3.800/3.800/3.800/0.000 ms
2022-11-21 17:24:50,745 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 10.396/10.396/10.396/0.000 ms
2022-11-21 17:24:51,986 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 9.321/9.321/9.321/0.000 ms
2022-11-21 17:24:53,232 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 11.705/11.705/11.705/0.000 ms
2022-11-21 17:24:54,482 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 6.983/6.983/6.983/0.000 ms
2022-11-21 17:24:55,805 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 14.172/14.172/14.172/0.000 ms
2022-11-21 17:24:57,060 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 19.677/19.677/19.677/0.000 ms
2022-11-21 17:24:58,297 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 3.997/3.997/3.997/0.000 ms
2022-11-21 17:24:59,536 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 5.375/5.375/5.375/0.000 ms
2022-11-21 17:27:15,346 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 9.447/9.447/9.447/0.000 ms
2022-11-21 17:27:16,582 INFO Source-IP: 2.2.2.2 | Available: True | Round-trip min/avg/max/stddev = 7.421/7.421/7.421/0.000 ms
